job_id,reason,evidence_note
4873772,redundant_orchestration_duplicate,The frozen repetition row already had valid scientific attempt 4849047 before recovery array 4872726 was submitted; exclude the later duplicate without comparing outcomes.
4934987,temporal_step_marker_instrumentation_failure,The v1 trainer wrote the global step into marker field 1 while gpu_monitor reads field 2; the successful five-step process is retained but excluded from temporal per-step inference because all samples were labeled step 0.
5031042,same_node_pair_infrastructure_failure,Exclude both periods from this crossover because period 2 failed before model execution with a distributed server socket EADDRINUSE error; the frozen pair is rerun from period 1.
5031081,same_node_pair_launcher_replacement_failure,Exclude both periods from this crossover because period 1 exited 127 while the shared launcher was being atomically replaced; the frozen pair is rerun from period 1.
5031082,same_node_pair_launcher_replacement_failure,Exclude both periods from this crossover because period 1 exited 127 while the shared launcher was being atomically replaced; the frozen pair is rerun from period 1.
5031058,matched_source_port_collision,The matched colocated source attempt failed before model allocation with a distributed port EADDRINUSE error and was rerun identically.
5031083,matched_source_launcher_replacement_failure,The matched colocated source attempt exited 127 while the shared launcher was being atomically replaced and was rerun identically.
5031075,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031076,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031077,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031078,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031096,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031100,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031104,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031066,granite_candidate_pool_protocol_superseded,Original Granite compatibility attempt excluded because the uniform candidate-pool correction requires a complete eight-row rerun.
5031132,matched_source_ray_startup_timeout,The matched colocated source attempt failed before model allocation because the local Ray node timed out during startup; the frozen row is rerun unchanged.
5031151,granite_port_reservation_race,The corrected Granite compatibility attempt failed before model allocation because concurrent array tasks selected the same apparently free distributed port block; the frozen row is rerun unchanged after atomic node-scoped reservation was added.
5031047,matched_source_distributed_startup_hang,The matched source attempt remained hung during colocated rollout startup without producing a response trace or scientific outcome; its same-node peer reported invalid CUDA IPC handles before the atomic port-reservation correction.
5031049,matched_source_cuda_ipc_startup_failure,The matched source attempt reported invalid CUDA IPC handles during initial weight synchronization and remained hung without producing a response trace or scientific outcome.
5031051,matched_source_distributed_startup_hang,The matched source attempt remained hung during colocated rollout startup without producing a response trace or scientific outcome; its same-node peer reported invalid CUDA IPC handles before the atomic port-reservation correction.
5031052,matched_source_cuda_ipc_startup_failure,The matched source attempt reported invalid CUDA IPC handles during initial weight synchronization and remained hung without producing a response trace or scientific outcome.
5031228,matched_source_vllm_tcpstore_collision,The unchanged matched-source retry failed before a rollout response or training outcome because vLLM selected an occupied ephemeral TCPStore port; the frozen row is rerun after extending the atomic reservation to vLLM.
5031260,matched_source_vllm_replica_port_collision,The matched-source retry failed before rollout generation because two TP=1 rollout replicas inherited the same reserved VLLM_PORT base; the frozen row is rerun after assigning disjoint per-replica slices.
5031248,granite_live_launcher_replacement_failure,The Granite attempt was active while the shared launcher was replaced and exited with a shell command-not-found status; the frozen row is rerun unchanged.
5031251,granite_live_launcher_replacement_failure,The Granite attempt was active while the shared launcher was replaced and exited with a shell command-not-found status; the frozen row is rerun unchanged.
5031252,granite_live_launcher_replacement_failure,The Granite attempt was active while the shared launcher was replaced and exited with a shell command-not-found status; the frozen row is rerun unchanged.
5031253,granite_live_launcher_replacement_failure,The Granite attempt was active while the shared launcher was replaced and exited with a shell command-not-found status; the frozen row is rerun unchanged.
5031255,granite_live_launcher_replacement_failure,The Granite attempt was active while the shared launcher was replaced and exited with a shell command-not-found status; the frozen row is rerun unchanged.
5031256,granite_live_launcher_replacement_failure,The Granite attempt was active while the shared launcher was replaced and exited with a shell command-not-found status; the frozen row is rerun unchanged.
5031257,granite_live_launcher_replacement_failure,The Granite attempt was active while the shared launcher was replaced and exited with a shell command-not-found status; the frozen row is rerun unchanged.
5031258,granite_vllm_replica_port_collision,The Granite attempt failed before rollout generation because TP=1 rollout replicas inherited the same VLLM_PORT base; the frozen row is rerun with disjoint per-replica slices.
